UnderFour,Seniors,NonWhite,NonEnglish,Income,NoHighSchoolDegree,Poverty,TreeDensity,LiveAlone,SeniorLiveAlone,NursingHomes,JobDensity,RegionalTransitAccess,NoParkAccess,AirQuality,LivingTopFloor,PopulationDensity,SurfaceTemperature0508,SurfaceTemperature0908,AsthmaRates,NoAirConditioning
0.071269,0.160356,0.10245,0.011887,318349.0,0.007462999999999999,0.030906593,7782,0.140293,0.042553,0.0,4209.57985941,1.0,0.568344,1.6,0.26104499999999997,12293.607978,301.899994,314,13.682535000000001,0.957931
0.077599,0.139092,0.068814,0.0,349403.0,0.021154,0.041237113,8082,0.08399,0.020997,0.0,4325.25951557,1.0,0.008405,1.2,0.254214,18833.415719,300.100006,313,11.920636,0.973946
0.065803,0.109671,0.104686,0.0,249184.0,0.0,0.024096386,6606,0.199819,0.031646,0.0,8955.57106304,1.0,0.013156999999999999,1.5,0.256538,25726.913236,300.0,314,11.844834,0.974603
0.029371,0.316084,0.183217,0.286938,130891.0,0.06289299999999999,0.07630522099999999,4688,0.33419699999999997,0.16062200000000001,0.0,25493.42105263,1.0,0.403211,1.8,0.268029,21162.280702,300.200012,315,8.273,0.993178
0.069832,0.159218,0.106145,0.0,369183.0,0.016544,0.010882708999999999,8114,0.095238,0.036341000000000005,0.0,6852.51518455,1.0,0.306666,1.4,0.260875,12427.970721,300.0,315,5.199999,1.0
0.07177,0.108453,0.129187,0.0,218788.0,0.022267,0.023696682,6255,0.17821800000000002,0.028288999999999998,0.0,39636.36363636,1.0,0.801315,1.6,0.262284,17139.393938999998,299.100006,313,5.2,1.0
0.038298,0.123404,0.160284,0.014141,123550.0,0.014308000000000001,0.081012658,5945,0.367684,0.057252,0.0,5811.35449262,1.0,0.033382999999999996,2.6,0.277555,17568.171658000003,301.899994,315,14.1,0.9375
0.047333,0.132231,0.167543,0.036496,180383.0,0.035119,0.079166667,5902,0.29041100000000003,0.034247,0.036986,10108.22952828,1.0,0.285381,2.6,0.28379899999999997,29814.171942,301.0,315,14.1,0.9375
0.05416,0.098116,0.098901,0.010025,253461.0,0.008189,0.038350217,7171,0.26568,0.035236,0.0,8614.66821886,1.0,0.265208,1.5,0.260279,33038.416764,301.600006,314,14.1,0.9375
0.051664,0.119965,0.133975,0.02561,126815.0,0.015259,0.03652968,5777,0.392996,0.048249,0.0,11184.8574238,1.0,0.314747,1.9,0.267006,31588.003933,301.5,315,14.099726,0.937504
